iter	Logloss
111	0.467488357
112	0.4672103721
113	0.4669556647
114	0.4665412481
115	0.4664478976
116	0.4663332669
117	0.4662907051
118	0.4662891597
119	0.4662460877
120	0.4660808966
121	0.4660328208
122	0.4659022771
123	0.465873904
124	0.4658109511
125	0.4656987583
126	0.4654882081
127	0.4654276804
128	0.4653116982
129	0.4650588313
130	0.4649879829
131	0.464913485
132	0.4647497563
133	0.4647355319
134	0.4647184193
135	0.4647073755
136	0.4645810534
137	0.4645501956
138	0.4644181462
139	0.4643625901
140	0.4642231901
141	0.4640846112
142	0.4639671034
143	0.4638448681
144	0.4638047624
145	0.463727481
146	0.4635641962
147	0.4635490334
148	0.463364116
149	0.4632523457
150	0.4631299411
151	0.4629296087
152	0.4626736232
153	0.4626706153
154	0.4626417692
155	0.4623453123
156	0.4622952599
157	0.4621981928
158	0.4621975265
159	0.4620341022
160	0.4618456763
161	0.461699981
162	0.4615216909
163	0.4614483102
164	0.4614299508
165	0.4612492867
166	0.4612369242
167	0.4610781147
168	0.4609790146
169	0.4609011263
170	0.4608220802
171	0.4606896106
172	0.4606044072
173	0.460577824
174	0.4603574793
175	0.4601497244
176	0.4599583755
177	0.4599122686
178	0.4598708155
179	0.4598151534
180	0.4595839901
181	0.4595599895
182	0.4594935002
183	0.4591397577
184	0.4590546305
185	0.4588005218
186	0.4586838221
187	0.4585185836
188	0.4583980408
189	0.458320669
190	0.4583156507
191	0.458290946
192	0.4581278453
193	0.4580174011
194	0.4577734761
195	0.4576994569
196	0.4574642719
197	0.4573800083
198	0.4572084046
199	0.4569477493
200	0.4567929848
201	0.4563612492
202	0.4561134407
203	0.4560707935
204	0.4560146928
205	0.4557116596
206	0.4556389233
207	0.4555158985
208	0.4554548567
209	0.4553773843
210	0.455108271
211	0.4549737952
212	0.454798388
213	0.4547585343
214	0.4543916258
215	0.4543321023
216	0.4540010787
217	0.4537871809
218	0.4536657506
219	0.4536517266
220	0.4533836524
221	0.4530726599
222	0.452923705
223	0.4528883556
224	0.4528382318
225	0.4527777569
226	0.4522576923
227	0.4522255309
228	0.4519067937
229	0.4515693703
230	0.4514511581
231	0.4512852698
232	0.4511673618
233	0.4510855644
234	0.4508365212
235	0.4508326408
236	0.4508307367
237	0.4507738989
238	0.4504583788
239	0.4504148379
240	0.450260229
241	0.4501266174
242	0.4500898633
243	0.4500008312
244	0.4499377311
245	0.4497359731
246	0.4496560029
247	0.4496416908
248	0.4493431403
249	0.4492322486
250	0.4491669411
251	0.4491171779
252	0.4490982645
253	0.4489739549
254	0.4489687515
255	0.448667892
256	0.4483681915
257	0.4482965169
258	0.4482249438
259	0.4481435607
260	0.4480652389
261	0.4479991192
262	0.4479338505
263	0.4478076768
264	0.4475732638
265	0.4475553798
266	0.4472986332
267	0.4472958201
268	0.447193089
269	0.4471338747
270	0.4469806987
271	0.4466353984
272	0.4465731413
273	0.4465538032
274	0.446454137
275	0.4464471553
276	0.4464407714
277	0.4464383012
278	0.4464101852
279	0.4462798641
280	0.4461031285
281	0.4460206442
282	0.4456766558
283	0.4455154707
284	0.4452297444
285	0.4452258969
286	0.4451283024
287	0.4450341314
288	0.444982746
289	0.4447717078
290	0.444548358
291	0.4444494546
292	0.4444288158
293	0.4441292901
294	0.4441125967
295	0.4439685941
296	0.4437563892
297	0.443752725
298	0.443664809
299	0.4434552262
300	0.4434187136
301	0.443342349
302	0.4432893436
303	0.4431822837
304	0.4431529771
305	0.4428742584
306	0.4427965329
307	0.4427573108
308	0.4426024753
309	0.442428986
310	0.4423317453
311	0.4420198404
312	0.4417819764
313	0.4415352751
314	0.4415013831
315	0.4414828045
316	0.4412879545
317	0.4411023867
318	0.4409995572
319	0.4409298075
320	0.4408427243
321	0.4407551546
322	0.4406714423
323	0.4405040774
324	0.4404570385
325	0.4402125893
326	0.4400501516
327	0.4400254293
328	0.4398985591
329	0.4397172016
330	0.439465102
331	0.4394489843
332	0.4393768045
333	0.4393029384
334	0.4392229492
335	0.438888491
336	0.4387876928
337	0.4387212625
338	0.43864729
339	0.4386128711
340	0.4384671166
341	0.4381929119
342	0.4380520657
343	0.4380339218
344	0.4379612875
345	0.4379186777
346	0.4378869056
347	0.4377206321
348	0.4376849492
349	0.4376006342
350	0.4375905689
351	0.4373815181
352	0.4372902513
353	0.4371270785
354	0.4369745418
355	0.4369289185
356	0.4368126965
357	0.4367762379
358	0.4367222419
359	0.4366547979
360	0.436545794
361	0.4364584818
362	0.4362991858
363	0.4361790603
364	0.4359984394
365	0.4359316237
366	0.4358663099
367	0.4358068093
368	0.4356850945
369	0.4354376881
370	0.4353304258
371	0.4352182946
372	0.4351282107
373	0.4349104013
374	0.4348015785
375	0.4346483912
376	0.4346013454
377	0.4344852044
378	0.4343559254
379	0.4341349451
380	0.4340388685
381	0.4339570514
382	0.4338818774
383	0.4338036487
384	0.4337379985
385	0.4336251209
386	0.4336173518
387	0.4335006964
388	0.4334566807
389	0.4333350224
390	0.4330555942
391	0.4329855337
392	0.4328988697
393	0.4327697883
394	0.4327016674
395	0.43264207
396	0.4326234835
397	0.4325892169
398	0.4325618375
399	0.4324918057
400	0.4324132084
401	0.4322420527
402	0.4322267305
403	0.4320965202
404	0.4320271687
405	0.4319674718
406	0.4319166217
407	0.4318694043
408	0.4317502162
409	0.4316717317
410	0.4315792235
411	0.4313148845
412	0.4312087355
413	0.4311610768
414	0.4310728496
415	0.4309403853
416	0.4308680896
417	0.4308310434
418	0.4307823081
419	0.4305150993
420	0.4303677686
421	0.430356901
422	0.4299185
423	0.4298372325
424	0.4297577101
425	0.4296451581
426	0.4295539872
427	0.4293505523
428	0.4291753734
429	0.4291296342
430	0.429001183
431	0.4289060851
432	0.4286601643
433	0.4286254346
434	0.4284957504
435	0.4284268087
436	0.4283857119
437	0.428251191
438	0.4281389694
439	0.4280814457
440	0.428061359
441	0.4279956498
442	0.4278876712
443	0.4277859718
444	0.4277190895
445	0.4276782826
446	0.4276397742
447	0.4275539025
448	0.4273368134
449	0.4271941555
450	0.4271338082
451	0.427098136
452	0.4269530525
453	0.426809058
454	0.4267598027
455	0.4266215422
456	0.4265417843
457	0.4265039049
458	0.4264179222
459	0.4263680385
460	0.4263361459
461	0.4262029801
462	0.4260741139
463	0.4260389138
464	0.4259026868
465	0.4257391299
466	0.4256019178
467	0.4255475925
468	0.425517366
469	0.4253940501
470	0.4252841867
471	0.4251861996
472	0.4251036305
473	0.4249040922
474	0.4248088762
475	0.4245601175
476	0.4245406958
477	0.4244660406
478	0.4243818702
479	0.424352829
480	0.4242304777
481	0.4240365684
482	0.4238740378
483	0.4237702185
484	0.4237214253
485	0.4236343103
486	0.4235753442
487	0.4235011794
488	0.4234317702
489	0.4233134776
490	0.4232113257
491	0.4231860482
492	0.4231798962
493	0.4230535692
494	0.4228320554
495	0.4227685035
496	0.4227389676
497	0.4226558749
498	0.4226312116
499	0.4225770591
