iter	Logloss
0	0.6744469824
1	0.6570528134
2	0.6400032423
3	0.6253038982
4	0.6128539998
5	0.6013334786
6	0.5908734621
7	0.5823565134
8	0.5733425226
9	0.5663871519
10	0.5595533826
11	0.5535858141
12	0.5482263836
13	0.5435607517
14	0.539702703
15	0.5351872307
16	0.5314430972
17	0.5282228349
18	0.5254505469
19	0.5221969456
20	0.5193932753
21	0.5169317628
22	0.5144539721
23	0.5118414197
24	0.509900556
25	0.5079595678
26	0.5064945212
27	0.5053747584
28	0.503450643
29	0.5020265901
30	0.5005142203
31	0.4992028612
32	0.4982069875
33	0.4971737594
34	0.4961025163
35	0.4952775708
36	0.4943576483
37	0.4934069412
38	0.4924717233
39	0.4917167791
40	0.4911453628
41	0.4902637797
42	0.4894663562
43	0.4884105867
44	0.4880239233
45	0.4875723955
46	0.4868721693
47	0.4862819947
48	0.4855970594
49	0.4848488858
50	0.4843097173
51	0.4837214537
52	0.4833383439
53	0.4829178061
54	0.4822264973
55	0.4816151648
56	0.4810052274
57	0.480494114
58	0.4798072952
59	0.4789257337
60	0.4783169756
61	0.4779269004
62	0.4777047457
63	0.4773982889
64	0.4772297557
65	0.4769555082
66	0.4767389415
67	0.4766255235
68	0.4764059644
69	0.4759602746
70	0.4758990701
71	0.4755806143
72	0.4752293305
73	0.4749101646
74	0.4746587992
75	0.4744856508
76	0.4740504406
77	0.4737979254
78	0.4735731547
79	0.4731148213
80	0.4728942165
81	0.4726161727
82	0.4723798109
83	0.4722361929
84	0.4720048106
85	0.4718611371
86	0.4717416455
87	0.4715361805
88	0.4714633345
89	0.4712273069
90	0.4708412922
91	0.4705850056
92	0.4702148139
93	0.4701360936
94	0.4700822692
95	0.4699662039
96	0.4697759934
97	0.4694740421
98	0.4693271779
99	0.4691054549
100	0.4690001276
101	0.4688152816
102	0.4684918279
103	0.4681480041
104	0.4680142447
105	0.4679041663
106	0.4678386299
107	0.4678386206
108	0.4678348808
109	0.4678047268
110	0.4678026434
