Model,Branch,CV ROC-AUC,Test ROC-AUC,Test Precision,Test Recall,Test F1-Score,Test Accuracy
CatBoost_Baseline,A (Class Weights),0.8492640662080951,0.8432584912927168,0.530188679245283,0.7553763440860215,0.623059866962306,0.7580071174377224
XGBoost_Baseline,A (Class Weights),0.8486377871781515,0.8411037899842821,0.6725978647686833,0.5080645161290323,0.5788667687595712,0.8042704626334519
XGBoost_SMOTE,B (SMOTE),0.8488189049109673,0.8409658682821721,0.6153846153846154,0.5806451612903226,0.5975103734439834,0.79288256227758
LightGBM_SMOTE,B (SMOTE),0.83953205956977,0.8384559535333979,0.635483870967742,0.5295698924731183,0.5777126099706745,0.795017793594306
LightGBM_Baseline,A (Class Weights),0.8390321332433931,0.8353071750512652,0.53125,0.7311827956989247,0.6153846153846154,0.7580071174377224
